Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,141.10000610351562,141.89999389648438,140.47999572753906,141.5500030517578,133.6342010498047,3338600
2023-01-04,142.07000732421875,143.6199951171875,141.3699951171875,142.60000610351562,134.62548828125,3869200
2023-01-05,142.44000244140625,142.5,140.00999450683594,141.11000061035156,133.2188262939453,2866600
2023-01-06,142.3800048828125,144.25,141.5800018310547,143.6999969482422,135.66395568847656,3574000
2023-01-09,144.0800018310547,145.47000122070312,143.39999389648438,143.5500030517578,135.52236938476562,3987700
2023-01-10,143.61000061035156,144.85000610351562,142.89999389648438,144.8000030517578,136.70245361328125,2152100
2023-01-11,145.0,145.52999877929688,143.4499969482422,145.25999450683594,137.13674926757812,3268700
2023-01-12,144.8800048828125,146.66000366210938,144.52000427246094,145.5500030517578,137.41050720214844,2715900
2023-01-13,144.05999755859375,146.10000610351562,144.00999450683594,145.88999938964844,137.73150634765625,2455700
2023-01-17,146.4199981689453,147.17999267578125,145.00999450683594,145.19000244140625,137.0706329345703,2986500
2023-01-18,144.39999389648438,144.67999267578125,140.22999572753906,140.41000366210938,132.55795288085938,6445600
2023-01-19,140.0,142.22999572753906,139.75,140.6199951171875,132.7562255859375,4833900
2023-01-20,141.6699981689453,141.86000061035156,140.50999450683594,141.1999969482422,133.30377197265625,7153300
2023-01-23,141.39999389648438,142.99000549316406,141.05999755859375,141.86000061035156,133.9268798828125,5898400
2023-01-24,141.25,142.75,140.0,141.49000549316406,133.5775604248047,4407600
2023-01-25,140.47000122070312,141.02999877929688,139.36000061035156,140.75999450683594,132.88836669921875,7347500
2023-01-26,137.52999877929688,138.27000427246094,132.97999572753906,134.4499969482422,126.93125915527344,17548500
2023-01-27,134.44000244140625,135.49000549316406,133.77000427246094,134.38999938964844,126.87460327148438,8143100
2023-01-30,134.32000732421875,136.11000061035156,133.97999572753906,135.3000030517578,127.73372650146484,5375700
2023-01-31,135.5,135.64999389648438,133.75999450683594,134.72999572753906,127.19559478759766,7206400
2023-02-01,134.49000549316406,135.7899932861328,132.8000030517578,135.08999633789062,127.53546142578125,5428900
2023-02-02,135.9600067138672,136.72000122070312,134.85000610351562,136.38999938964844,128.76275634765625,6107800
2023-02-03,136.35000610351562,136.9499969482422,135.52999877929688,136.94000244140625,129.28201293945312,3755700
2023-02-06,135.8300018310547,136.32000732421875,134.9499969482422,136.17999267578125,128.5644989013672,4841300
2023-02-07,135.6699981689453,136.39999389648438,134.4499969482422,135.83999633789062,128.2435302734375,3737600
2023-02-08,135.7100067138672,136.74000549316406,135.16000366210938,135.97999572753906,128.3756866455078,4593700
2023-02-09,134.99000549316406,135.72999572753906,133.33999633789062,133.75,127.82140350341797,3918800
2023-02-10,133.77999877929688,135.77000427246094,133.5,135.60000610351562,129.5894012451172,5049600
2023-02-13,136.0,137.38999938964844,135.85000610351562,137.35000610351562,131.26182556152344,4403000
2023-02-14,137.0500030517578,137.24000549316406,135.0500030517578,136.00999450683594,129.98121643066406,3202200
2023-02-15,135.1999969482422,136.4499969482422,135.07000732421875,136.39999389648438,130.3539276123047,2506700
2023-02-16,135.57000732421875,135.97000122070312,134.58999633789062,135.0,129.0159912109375,2965500
2023-02-17,134.5,135.5800018310547,133.88999938964844,135.02000427246094,129.0351104736328,3466200
2023-02-21,134.0,134.38999938964844,131.66000366210938,131.7100067138672,125.871826171875,4257200
2023-02-22,131.89999389648438,131.99000549316406,130.2899932861328,130.97000122070312,125.16463470458984,3200200
2023-02-23,131.5,131.6999969482422,128.86000061035156,130.7899932861328,124.99259948730469,3725600
2023-02-24,129.6199951171875,130.6699981689453,129.22000122070312,130.57000732421875,124.78235626220703,3015800
2023-02-27,131.4199981689453,131.8699951171875,130.1300048828125,130.49000549316406,124.7059097290039,2761300
2023-02-28,130.5500030517578,130.61000061035156,129.13999938964844,129.3000030517578,123.56864929199219,5143100
2023-03-01,128.89999389648438,129.47000122070312,127.73999786376953,128.19000244140625,122.50785064697266,3760700
2023-03-02,128.38999938964844,129.22000122070312,127.70999908447266,128.92999267578125,123.21504211425781,3340100
2023-03-03,129.35000610351562,129.91000366210938,128.77000427246094,129.63999938964844,123.89358520507812,2860300
2023-03-06,129.63999938964844,130.86000061035156,129.58999633789062,130.19000244140625,124.419189453125,3131200
2023-03-07,130.27999877929688,130.4199981689453,128.19000244140625,128.25,122.56519317626953,3530400
2023-03-08,128.47999572753906,128.74000549316406,127.55000305175781,128.0500030517578,122.37406158447266,2778800
2023-03-09,128.3000030517578,128.52999877929688,125.9800033569336,126.16000366210938,120.56783294677734,5478300
2023-03-10,126.12000274658203,127.29000091552734,125.12999725341797,125.44999694824219,119.8893051147461,5990900
2023-03-13,125.1500015258789,128.19000244140625,124.8499984741211,125.58000183105469,120.0135498046875,8188400
2023-03-14,126.48999786376953,126.63999938964844,123.19999694824219,124.6500015258789,119.12476348876953,8114800
2023-03-15,122.98999786376953,123.3499984741211,121.70999908447266,123.27999877929688,117.81549072265625,5989300
2023-03-16,122.95999908447266,124.81999969482422,121.91999816894531,124.69999694824219,119.17254638671875,6438700
2023-03-17,124.08000183105469,124.5199966430664,122.93000030517578,123.69000244140625,118.20732116699219,37400200
2023-03-20,124.30999755859375,126.16000366210938,124.19000244140625,125.94000244140625,120.35758972167969,4588300
2023-03-21,126.9000015258789,127.1500015258789,125.66000366210938,126.56999969482422,120.95966339111328,3856300
2023-03-22,127.0,127.22000122070312,124.01000213623047,124.05000305175781,118.55136108398438,3549000
2023-03-23,123.80999755859375,124.93000030517578,122.5999984741211,123.37000274658203,117.90150451660156,4651900
2023-03-24,123.36000061035156,125.4000015258789,122.87999725341797,125.29000091552734,119.73639678955078,3812300
2023-03-27,126.47000122070312,130.25999450683594,126.47000122070312,129.30999755859375,123.57820129394531,6524100
2023-03-28,129.17999267578125,129.66000366210938,128.8000030517578,129.33999633789062,123.60688018798828,2888900
2023-03-29,130.1199951171875,130.35000610351562,129.17999267578125,129.7100067138672,123.96049499511719,3279600
2023-03-30,130.16000366210938,131.47999572753906,129.10000610351562,129.22000122070312,123.49220275878906,3561800
2023-03-31,129.47000122070312,131.22999572753906,129.4199981689453,131.08999633789062,125.279296875,4524700
2023-04-03,130.97000122070312,132.61000061035156,130.77000427246094,132.05999755859375,126.206298828125,3840100
2023-04-04,131.99000549316406,132.14999389648438,130.88999938964844,131.60000610351562,125.76669311523438,3382800
2023-04-05,131.3699951171875,132.61000061035156,131.3699951171875,132.13999938964844,126.28276062011719,2898700
2023-04-06,132.16000366210938,132.60000610351562,130.32000732421875,130.5,124.71546173095703,3050600
2023-04-10,129.8300018310547,131.0800018310547,129.24000549316406,131.02999877929688,125.22195434570312,2614400
2023-04-11,130.5800018310547,131.10000610351562,130.17999267578125,130.4199981689453,124.63899230957031,3132400
2023-04-12,130.39999389648438,130.88999938964844,128.1699981689453,128.5399932861328,122.84233093261719,3957500
2023-04-13,128.00999450683594,128.38999938964844,126.0,127.9000015258789,122.23069763183594,5621500
2023-04-14,128.4600067138672,129.83999633789062,127.30999755859375,128.13999938964844,122.46006774902344,4180600
2023-04-17,128.3000030517578,128.72000122070312,126.80000305175781,127.81999969482422,122.15424346923828,3662700
2023-04-18,128.13999938964844,128.67999267578125,127.3499984741211,127.77999877929688,122.11602783203125,3193800
2023-04-19,126.5,126.9800033569336,125.30000305175781,126.31999969482422,120.72073364257812,7014400
2023-04-20,130.14999389648438,130.97999572753906,125.83999633789062,126.36000061035156,120.75896453857422,9749600
2023-04-21,126.0,126.69999694824219,125.2699966430664,125.7300033569336,120.15689849853516,6725400
2023-04-24,125.55000305175781,126.05000305175781,124.55999755859375,125.4000015258789,119.84152221679688,4043900
2023-04-25,124.9000015258789,126.19000244140625,124.76000213623047,125.88999938964844,120.30979919433594,4275400
2023-04-26,125.80999755859375,126.55000305175781,125.12000274658203,125.8499984741211,120.27157592773438,4070200
2023-04-27,126.37000274658203,127.0199966430664,125.45999908447266,126.97000122070312,121.34193420410156,3204900
2023-04-28,126.58000183105469,127.25,125.63999938964844,126.41000366210938,120.80675506591797,5060500
2023-05-01,126.3499984741211,126.75,126.05999755859375,126.08999633789062,120.50093841552734,2725000
2023-05-02,126.30000305175781,126.44999694824219,123.2699966430664,125.16000366210938,119.6121597290039,4445300
2023-05-03,125.45999908447266,125.56999969482422,123.26000213623047,123.44999694824219,117.97795104980469,4554200
2023-05-04,123.02999877929688,123.5199966430664,121.76000213623047,122.56999969482422,117.13695526123047,4468200
2023-05-05,123.11000061035156,124.0999984741211,122.80999755859375,123.6500015258789,118.1690902709961,4970800
2023-05-08,123.76000213623047,123.91999816894531,122.55000305175781,123.4000015258789,117.93016815185547,3663800
2023-05-09,121.9000015258789,121.97000122070312,120.66000366210938,121.16999816894531,117.37800598144531,4540000
2023-05-10,121.98999786376953,122.48999786376953,121.0999984741211,122.0199966430664,118.20140075683594,4189200
2023-05-11,122.0199966430664,122.23999786376953,120.55000305175781,120.9000015258789,117.11646270751953,3446500
2023-05-12,121.41000366210938,122.86000061035156,121.11000061035156,122.83999633789062,118.99573516845703,4560500
2023-05-15,123.0,123.69000244140625,122.33999633789062,123.36000061035156,119.49947357177734,2915700
2023-05-16,123.3499984741211,123.86000061035156,122.44999694824219,123.45999908447266,119.5963363647461,2748400
2023-05-17,123.94000244140625,125.8499984741211,123.47000122070312,125.70999908447266,121.77592468261719,4515100
2023-05-18,125.30000305175781,126.51000213623047,125.19000244140625,126.1500015258789,122.20216369628906,3797900
2023-05-19,126.79000091552734,128.2899932861328,126.55000305175781,127.26000213623047,123.27742004394531,4305800
2023-05-22,127.5,128.19000244140625,127.1500015258789,127.5,123.5099105834961,2806800
2023-05-23,127.23999786376953,129.08999633789062,127.12999725341797,128.17999267578125,124.16862487792969,4592300
2023-05-24,127.81999969482422,127.9000015258789,125.47000122070312,125.68000030517578,121.74687194824219,3915500
2023-05-25,125.61000061035156,127.2300033569336,125.01000213623047,126.76000213623047,122.7930679321289,4102900
2023-05-26,127.05999755859375,129.66000366210938,126.80999755859375,128.88999938964844,124.85640716552734,5612600
2023-05-30,129.55999755859375,130.07000732421875,128.25999450683594,129.47999572753906,125.42794799804688,3741100
2023-05-31,128.50999450683594,129.44000244140625,127.45999908447266,128.58999633789062,124.5657958984375,11590200
2023-06-01,128.44000244140625,130.14999389648438,127.77999877929688,129.82000732421875,125.75730895996094,4136100
2023-06-02,130.3800048828125,133.1199951171875,130.14999389648438,132.4199981689453,128.27593994140625,5373900
2023-06-05,133.1199951171875,133.5800018310547,132.27000427246094,132.63999938964844,128.4890594482422,3993500
2023-06-06,132.42999267578125,132.94000244140625,131.8800048828125,132.69000244140625,128.53749084472656,3298000
2023-06-07,132.5,134.44000244140625,132.19000244140625,134.3800048828125,130.17459106445312,5772000
